time,yaw_degrees
1878.38,-3.69533e-07
1878.38,-3.71033e-07
1878.38,-3.72533e-07
1878.39,-3.74033e-07
1878.39,-3.75533e-07
1878.39,-3.77032e-07
1878.39,-3.78532e-07
1878.39,-3.80032e-07
1878.39,-3.81532e-07
1878.39,-3.83031e-07
1878.39,-3.84531e-07
1878.39,-3.86031e-07
1878.39,-3.8753e-07
1878.4,-3.8903e-07
1878.4,-3.90529e-07
1878.4,-3.92029e-07
1878.4,-3.93529e-07
1878.4,-3.95028e-07
1878.4,-3.96528e-07
1878.4,-3.98027e-07
1878.4,-3.99527e-07
1878.4,-4.01026e-07
1878.4,-4.02526e-07
1878.41,-4.04025e-07
1878.41,-4.05524e-07
1878.41,-4.07024e-07
1878.41,-4.08523e-07
1878.41,-4.10022e-07
1878.41,-4.11522e-07
1878.41,-4.13021e-07
1878.41,-4.1452e-07
1878.41,-4.1602e-07
1878.41,-4.17519e-07
1878.42,-4.19018e-07
1878.42,-4.20517e-07
1878.42,-4.22017e-07
1878.42,-4.23516e-07
1878.42,-4.25015e-07
1878.42,-4.26514e-07
1878.42,-4.28013e-07
1878.42,-4.29512e-07
1878.42,-4.31011e-07
1878.42,-4.3251e-07
1878.43,-4.34009e-07
1878.43,-4.38507e-07
1878.43,-4.40005e-07
1878.43,-4.41504e-07
1878.43,-4.44502e-07
1878.44,-4.46001e-07
1878.44,-4.48999e-07
1878.44,-4.50498e-07
1878.44,-4.51997e-07
1878.44,-4.53495e-07
1878.44,-4.54994e-07
1878.44,-4.56493e-07
1878.44,-4.57992e-07
1878.44,-4.5949e-07
1878.44,-4.60989e-07
1878.45,-4.62488e-07
1878.45,-4.65485e-07
1878.45,-4.66984e-07
1878.45,-4.69981e-07
1878.45,-4.7148e-07
1878.45,-4.72978e-07
1878.45,-4.74477e-07
1878.45,-4.75975e-07
1878.45,-4.77474e-07
1878.45,-4.78972e-07
1878.46,-4.80471e-07
1878.46,-4.83468e-07
1878.46,-4.84966e-07
1878.46,-4.86464e-07
1878.46,-4.87963e-07
1878.46,-4.89461e-07
1878.46,-4.90959e-07
1878.46,-4.92458e-07
1878.47,-4.93956e-07
1878.47,-4.95454e-07
1878.47,-4.96953e-07
1878.47,-4.98451e-07
1878.47,-4.99949e-07
1878.47,-5.01447e-07
1878.47,-5.02946e-07
1878.47,-5.04444e-07
1878.47,-5.05942e-07
1878.48,-5.0744e-07
1878.48,-5.10436e-07
1878.48,-5.11934e-07
1878.48,-5.13432e-07
1878.48,-5.1493e-07
1878.48,-5.16428e-07
